city,name,total,s_year,s_month,s_day,s_quarter,s_hour,orders_count  
台中,UberEats,2,2021,4,17,2,22,1
台中,UberEats,537,2021,4,18,2,11,3
台中,UberEats,312,2021,4,18,2,12,2
台中,UberEats,127,2021,4,18,2,13,2
台中,UberEats,70,2021,4,18,2,14,1
台中,UberEats,325,2021,4,18,2,15,2
台中,UberEats,338,2021,4,18,2,16,1
台中,UberEats,443,2021,4,18,2,17,2
台中,UberEats,163,2021,4,18,2,18,1
台中,UberEats,112,2021,4,18,2,20,2
台中,UberEats,98,2021,4,18,2,21,1
台中,cash,638,2021,4,18,2,9,8
台中,cash,734,2021,4,18,2,10,10
台中,cash,335,2021,4,18,2,11,8
台中,cash,1267,2021,4,18,2,12,19
台中,cash,2574,2021,4,18,2,13,28
台中,cash,2131,2021,4,18,2,14,31
台中,cash,1977,2021,4,18,2,15,27
台中,cash,2026,2021,4,18,2,16,28
台中,cash,1389,2021,4,18,2,17,19
台中,cash,1227,2021,4,18,2,18,18
台中,cash,1490,2021,4,18,2,19,20
台中,cash,816,2021,4,18,2,20,15
台中,cash,839,2021,4,18,2,21,16
台中,easycard,62,2021,4,18,2,9,1
台中,easycard,110,2021,4,18,2,11,2
台中,easycard,53,2021,4,18,2,12,1
台中,easycard,467,2021,4,18,2,13,6
台中,easycard,320,2021,4,18,2,14,4
台中,easycard,105,2021,4,18,2,15,1
台中,easycard,157,2021,4,18,2,16,2
台中,easycard,135,2021,4,18,2,17,3
台中,easycard,105,2021,4,18,2,18,2
台中,easycard,268,2021,4,18,2,19,3
台中,easycard,47,2021,4,18,2,21,1
台中,linepay,128,2021,4,18,2,11,2
台中,linepay,182,2021,4,18,2,12,2
台中,linepay,380,2021,4,18,2,13,4
台中,linepay,153,2021,4,18,2,14,2
台中,linepay,431,2021,4,18,2,15,3
台中,linepay,61,2021,4,18,2,16,1
台中,linepay,141,2021,4,18,2,17,3
台中,linepay,124,2021,4,18,2,18,3
台中,linepay,182,2021,4,18,2,19,2
台中,linepay,147,2021,4,18,2,20,2
台中,linepay,65,2021,4,18,2,21,2
台中,national_credit_card,52,2021,4,18,2,10,1
台中,national_credit_card,52,2021,4,18,2,13,1
台中,national_credit_card,64,2021,4,18,2,14,1
台中,national_credit_card,58,2021,4,18,2,17,1
台中,national_credit_card,72,2021,4,18,2,18,1
台中,national_credit_card,125,2021,4,18,2,19,2
台中,national_credit_card,128,2021,4,18,2,20,2
台中,national_credit_card,91,2021,4,18,2,21,1
台中,UberEats,197,2021,4,26,2,10,2
台中,UberEats,544,2021,4,26,2,11,3
台中,UberEats,327,2021,4,26,2,12,2
台中,UberEats,702,2021,4,26,2,13,5
台中,UberEats,95,2021,4,26,2,14,1
台中,UberEats,106,2021,4,26,2,15,1
